Donor,Passage,PCoA_X,PCoA_Y
1,0,-0.126862743647064,0.14131909215084
1,1,-0.0835959712517706,0.203327477876061
1,2,-0.131946332609262,0.265172823514348
1,3,-0.136661032240012,0.271970585538077
1,4,-0.151480007736579,0.245432259922047
1,5,-0.14247638361063,0.231828881320372
1,6,-0.181084259492451,0.210691445014737
1,7,-0.174093466645151,0.194880363098272
1,8,-0.155627320767748,0.206666139331997
2,0,0.19411840470699,0.116050643170998
2,1,0.192445317162626,0.100722637592436
2,2,0.275497699524473,0.0146003405999116
2,3,0.32441536251072,0.0105645256295601
2,4,0.329427472955243,-0.021841255427402
2,5,0.317902776248649,-0.0157997415655572
2,6,0.305183432855084,-0.0541830172490707
2,7,0.310250457909471,-0.0413086493524784
2,8,0.311790348410682,-0.0604807719194624
3,0,-0.118186865191204,-0.0879402669382147
3,1,-0.136446610396945,-0.141527120883529
3,2,-0.143825996287447,-0.188690471630488
3,3,-0.148991291896424,-0.267336305587211
3,4,-0.154215634748438,-0.266883935224006
3,5,-0.149532869988941,-0.261610742753066
3,6,-0.139119214427001,-0.269866925826805
3,7,-0.144078727089531,-0.271674330156137
3,8,-0.142806544257339,-0.264083680246229
